,char_count_clean,word_count_clean,sentence_count_clean
count,187.0,187.0,187.0
mean,40900.06951871658,4768.588235294118,1.0
std,69545.51616074923,7981.327083070686,0.0
min,408.0,43.0,1.0
25%,10804.5,1296.5,1.0
50%,14883.0,1790.0,1.0
75%,34563.0,4095.5,1.0
max,545639.0,60985.0,1.0
